name,gender
dhola,F
tapan,M
gafur,M
sayda,F
shetan,M
shashank,M
esrail,M
sumanthra,F
laxami,F
dowlat,M
prittam,M
barti,F
iesha,F
ranju,F
ravidutt,M
deepu,F
priti,F
bobi,M
meenaz,M
dharamveer,M
subjeet,M
tiwankle,F
ammar,M
menpal,M
laksh,M
r,F
rishaw,M
jaitun,F
majida,F
moni,F
kanheya,M
sitra,F
gladwin,M
sahira,F
sapita,F
ganeshi,F
jaimala,F
bhupender,M
gunjan,F
kimat,M
satbir,M
ridhakaran,M
nathani,M
pravin,M
shkundla,F
rajina,F
ramtek,M
jugender,M
teerath,M
ramjani,M
rada,F
samina,F
karamjeet,F
asharam,M
hena,F
rukhar,F
shamshudin,M
parlad,M
sayeri,F
firida,F
sabita,F
wiresh,M
nikita,M
naraini,F
swagtika,F
pramatma,M
rubby,F
ravindar,M
naman,M
nootan,F
arhiyant,M
bajrangi,M
zahid,M
ansar,M
sunali,F
angda,M
naisi,M
hukamchand,M
budhwanti,F
shekiba,F
chitra,F
hamsiran,F
pushpendr,M
jeenat,F
amasi,F
pushkar,M
khubhu,F
bhteri,F
saddiq,M
philomina,F
julfi,M
soyam,M
sajana,F
banu,F
vashila,F
ankit,F
manali,F
arzoo,F
sateesh,M
banshi,M
kosaleya,F
geetanjali,F
jai,F
sanoj,M
dhanwanti,F
jeeth,M
ompal,M
zainab,F
anubhav,M
arshi,F
jhanjhariya,F
patender,M
abhishik,M
rasmi,F
samvedna,F
gulfasa,F
manphool,M
rukmani,F
ateek,M
daljeet,M
vishnu,F
aidtya,M
davinder,M
manash,M
dhrampal,M
mahmun,F
asarfi,M
rajbiri,F
nimmy,F
navjoot,M
sinil,M
kamal,F
sanni,M
goldy,F
buhan,M
ranjana,F
naseem,M
randheer,M
raveena,F
sanjana,F
jaimati,F
jit,M
kachri,F
sayada,F
razim,M
jalmi,M
sarmeela,F
upasana,F
mero,F
chunni,F
salmam,M
vimal,F
puskar,M
sabila,F
musmi,F
gajala,F
jaiveer,M
abash,M
gunanidhi,M
dipa,F
narayani,F
yamuna,F
nabi,M
bhuri,M
faaija,F
arshla,F
chetna,M
tinku,M
sarika,F
sayra,F
shashwat,M
nency,F
aazad,M
juna,F
mudsay,F
maheshar,F
toni,M
bhagay,F
pratima,F
ruhhena,F
kaushal,F
knheyalal,M
seema,F
yogeshwar,M
dibakar,M
anandi,M
matadeen,M
gungun,F
pritibha,F
chhavi,F
shanu,M
lali,F
gulabsa,F
sahaja,F
adesh,M
budho,F
sararwati,F
tinki,F
raeeyan,M
newal,M
veera,F
krishna,M
tariq,M
shankar,F
kaari,M
bhima,M
abha,F
gulran,F
ramsem,M
trilochan,M
kamil,M
jamil,M
naved,M
joohi,F
suhana,F
felicia,F
km,M
moni,M
sumnesh,M
sudershan,F
uzma,F
fulo,F
kunwar,M
mohmad,M
sandeep,M
miss,F
aswin,M
premchand,M
yamin,M
naseeba,F
kawita,F
sukhveer,M
bhiki,F
shamima,F
mohanram,M
yasar,M
kherul,F
silvia,F
konika,F
anli,M
chajju,M
parbha,F
harishchandr,M
sudesh,M
rajkumar,M
gaffur,M
nishtha,F
mudrika,F
jimi,M
soonam,F
ranvir,M
abid,M
dhrama,F
jamna,F
majidunisha,F
tulsha,F
shivlal,M
shika,F
devik,M
jioty,F
wali,M
aruni,F
meera,F
sanjeet,M
manka,F
km,F
twinkil,F
nikkhar,F
kashish,F
aliya,F
kaleram,M
mukti,F
radikha,F
bakhtvaar,F
rambir,M
khushnaseeb,M
sangeena,F
fija,F
shashi,M
aaradhana,F
muskan,F
amardeep,M
